AnioEje,Region,TipoGobiernoAbv,TipoGobierno,SectorCod,Sector,PliegoCod,Pliego,SecuenciaEjecutoraCod,EjecutoraCod,Ejecutora,AlmacenCod,SecuenciaAlmacenCod,Almacen,TipoTransaccionCod,TipoTransaccion,MovimientoID,OrdenCompraID,ProveedorCodigo,Proveedor,ObservacionDonacion,MovimientoFecha,MovimientoMesCod,MovimientoMes,TipoUsoCodigo,GuiaRemisionCodigo,FacturaNumero,EstadoKardex,FechaRegistro,ConformidadIngresoDocumento,ConformidadIngresoFecha,IngresoGlosa,BienTipoCod,BienGrupoCod,BienGrupo,BienClaseCod,BienClase,BienFamiliaCod,BienFamilia,BienItemCod,BienItem,BienUnidaMedidaCod,BienUnidadMedida,BienMarcaCod,BienMarca,BienCantidad,BienPrecioUnitario,BienValorTotal
2020,AREQUIPA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,766,401,REGION AREQUIPA-HOSPITAL GOYENECHE,1,7,ALMACEN BIENES DE CAPITAL,4,NEA - DONACION,1,0,0,GLOBAL SUPPLY S.A.C,ACEPTACION DE DONACION SEGUN R.A. Ndeg73-2020-GRA/GRS/GR-HG-OLOG-OEA,2020-03-27,3,MARZO,C,1,ACTA 09-2020,CON CONFORMIDAD,2020-03-27,R.A. Ndeg73-2020-GRA/GRS/GR-HG/OLOG-OEA,2020-03-27,DONACION DE EQUIPAMIENTO MEDICO DE LA EMPRESA GLOBAL SUPPLY S.A.C.,B,53,HOSPITALIZACION,22,EQUIPO DE HOSPITALIZACION ,8197,MONITOR MULTI PARAMETRO,1,MONITOR MULTI PARAMETRO,112,UNIDAD,2046,EDAN,1.0,6947.0,6947.0
2020,AREQUIPA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,766,401,REGION AREQUIPA-HOSPITAL GOYENECHE,1,7,ALMACEN BIENES DE CAPITAL,4,NEA - DONACION,1,0,0,GLOBAL SUPPLY S.A.C,ACEPTACION DE DONACION SEGUN R.A. Ndeg73-2020-GRA/GRS/GR-HG-OLOG-OEA,2020-03-27,3,MARZO,C,1,ACTA 09-2020,CON CONFORMIDAD,2020-03-27,R.A. Ndeg73-2020-GRA/GRS/GR-HG/OLOG-OEA,2020-03-27,DONACION DE EQUIPAMIENTO MEDICO DE LA EMPRESA GLOBAL SUPPLY S.A.C.,B,53,HOSPITALIZACION,22,EQUIPO DE HOSPITALIZACION ,9980,VIDEO LARINGOSCOPIO,1,VIDEO LARINGOSCOPIO,112,UNIDAD,3339,MC GRATH MAC,1.0,2100.0,2100.0
2020,AREQUIPA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,766,401,REGION AREQUIPA-HOSPITAL GOYENECHE,1,7,ALMACEN BIENES DE CAPITAL,4,NEA - DONACION,2,0,0,UNIVERSIDAD CATOLICA SAN PABLO,DONACION DE UNIVERSIDAD CATOLICA SAN PABLO EN FAVOR DE LOS CONSULTORIOS DE PSICOLOGIA,2020-04-16,4,ABRIL,C,02,R.A 98-2020-GRA,CON CONFORMIDAD,2020-05-08,R.A.Ndeg98-2020-GRA/GRS/GR-HG/OLOG-OEA,2020-05-16,DONACION UCSP EN FAVOR DE LOS CONSULTORIOS DE PSICOLOGIA DEL DPTO. DE MEDICINA,B,74,OFICINA,64,MOBILIARIO DE OFICINA ,4152,ESTANTE DE MELAMINA,59,ESTANTE DE MELAMINA,112,UNIDAD,1190,SIN  MARCA,1.0,550.85,550.85
2020,AREQUIPA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,766,401,REGION AREQUIPA-HOSPITAL GOYENECHE,1,7,ALMACEN BIENES DE CAPITAL,4,NEA - DONACION,2,0,0,UNIVERSIDAD CATOLICA SAN PABLO,DONACION DE UNIVERSIDAD CATOLICA SAN PABLO EN FAVOR DE LOS CONSULTORIOS DE PSICOLOGIA,2020-04-16,4,ABRIL,C,02,R.A 98-2020-GRA,CON CONFORMIDAD,2020-05-08,R.A.Ndeg98-2020-GRA/GRS/GR-HG/OLOG-OEA,2020-05-16,DONACION UCSP EN FAVOR DE LOS CONSULTORIOS DE PSICOLOGIA DEL DPTO. DE MEDICINA,B,74,OFICINA,64,MOBILIARIO DE OFICINA ,8950,SILLON MODULAR,1,SILLON MODULAR,112,UNIDAD,1190,SIN  MARCA,1.0,600.0,600.0
2020,AREQUIPA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,766,401,REGION AREQUIPA-HOSPITAL GOYENECHE,1,7,ALMACEN BIENES DE CAPITAL,4,NEA - DONACION,3,0,0,I.S.T.P. MARIA MONTESSORI E.I.R.L.,DONACION DE EQUIPO DE COMPUTO EN FAVOR DEL SERVICIO DE ANATOMIA PATOLOGICA,2020-04-16,4,ABRIL,C,03,R.A.99-2020-GRA,CON CONFORMIDAD,2020-05-08,RA Ndeg99-2020-GRA/GRS/GR-HG/OLOG-OEA,2020-04-16,DONACION EN FAVOR DEL SERVICIO DE ANATOMIA PATOLOGICA,B,74,OFICINA,8,COMPUTO,9950,UNIDAD CENTRAL DE PROCESO - CPU,1,UNIDAD CENTRAL DE PROCESO - CPU,112,UNIDAD,1264,AVATEC,1.0,935.0,935.0
2020,AREQUIPA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,766,401,REGION AREQUIPA-HOSPITAL GOYENECHE,1,7,ALMACEN BIENES DE CAPITAL,4,NEA - DONACION,3,0,0,I.S.T.P. MARIA MONTESSORI E.I.R.L.,DONACION DE EQUIPO DE COMPUTO EN FAVOR DEL SERVICIO DE ANATOMIA PATOLOGICA,2020-04-16,4,ABRIL,C,03,R.A.99-2020-GRA,CON CONFORMIDAD,2020-05-08,RA Ndeg99-2020-GRA/GRS/GR-HG/OLOG-OEA,2020-04-16,DONACION EN FAVOR DEL SERVICIO DE ANATOMIA PATOLOGICA,B,74,OFICINA,8,COMPUTO,8037,MONITOR LED,1,MONITOR LED,112,UNIDAD,6,ACER,1.0,500.0,500.0
2020,AREQUIPA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,766,401,REGION AREQUIPA-HOSPITAL GOYENECHE,1,7,ALMACEN BIENES DE CAPITAL,4,NEA - DONACION,3,0,0,I.S.T.P. MARIA MONTESSORI E.I.R.L.,DONACION DE EQUIPO DE COMPUTO EN FAVOR DEL SERVICIO DE ANATOMIA PATOLOGICA,2020-04-16,4,ABRIL,C,03,R.A.99-2020-GRA,CON CONFORMIDAD,2020-05-08,RA Ndeg99-2020-GRA/GRS/GR-HG/OLOG-OEA,2020-04-16,DONACION EN FAVOR DEL SERVICIO DE ANATOMIA PATOLOGICA,B,74,OFICINA,8,COMPUTO,9500,TECLADO - KEYBOARD,1,TECLADO - KEYBOARD,112,UNIDAD,208,LOGITECH,1.0,30.0,30.0
2020,AREQUIPA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,766,401,REGION AREQUIPA-HOSPITAL GOYENECHE,1,7,ALMACEN BIENES DE CAPITAL,4,NEA - DONACION,3,0,0,I.S.T.P. MARIA MONTESSORI E.I.R.L.,DONACION DE EQUIPO DE COMPUTO EN FAVOR DEL SERVICIO DE ANATOMIA PATOLOGICA,2020-04-16,4,ABRIL,C,03,R.A.99-2020-GRA,CON CONFORMIDAD,2020-05-08,RA Ndeg99-2020-GRA/GRS/GR-HG/OLOG-OEA,2020-04-16,DONACION EN FAVOR DEL SERVICIO DE ANATOMIA PATOLOGICA,B,19,COMUNICACIONES Y TELECOMUNICACIONES: REPUESTOS Y ACCESORIOS,91,TELECOMUNICACIONES: ACCESORIOS,10,OTROS RPTOS. Y ACCESORIOS PARA EQUIPOS DE COMUNICACION,330,PARLANTE (MENOR A 1/4 UIT) 20 W,112,UNIDAD,1373,HALION,1.0,30.0,30.0
2020,AREQUIPA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,766,401,REGION AREQUIPA-HOSPITAL GOYENECHE,1,7,ALMACEN BIENES DE CAPITAL,4,NEA - DONACION,3,0,0,I.S.T.P. MARIA MONTESSORI E.I.R.L.,DONACION DE EQUIPO DE COMPUTO EN FAVOR DEL SERVICIO DE ANATOMIA PATOLOGICA,2020-04-16,4,ABRIL,C,03,R.A.99-2020-GRA,CON CONFORMIDAD,2020-05-08,RA Ndeg99-2020-GRA/GRS/GR-HG/OLOG-OEA,2020-04-16,DONACION EN FAVOR DEL SERVICIO DE ANATOMIA PATOLOGICA,B,46,ELECTRICIDAD Y ELECTRONICA,22,EQUIPO DE ELECTRICIDAD Y ELECTRONICA,5215,ESTABILIZADOR,1,ESTABILIZADOR,112,UNIDAD,1363,FORZA,1.0,65.0,65.0
2020,AREQUIPA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,766,401,REGION AREQUIPA-HOSPITAL GOYENECHE,1,7,ALMACEN BIENES DE CAPITAL,4,NEA - DONACION,3,0,0,I.S.T.P. MARIA MONTESSORI E.I.R.L.,DONACION DE EQUIPO DE COMPUTO EN FAVOR DEL SERVICIO DE ANATOMIA PATOLOGICA,2020-04-16,4,ABRIL,C,03,R.A.99-2020-GRA,CON CONFORMIDAD,2020-05-08,RA Ndeg99-2020-GRA/GRS/GR-HG/OLOG-OEA,2020-04-16,DONACION EN FAVOR DEL SERVICIO DE ANATOMIA PATOLOGICA,B,76,"PROCES. AUTOM. DE DATOS  :   RPTOS, ACCESORIOS Y MATERIALES",75,PROCESAMIENTO AUTOMATICO DE DATOS: REPUESTOS Y ACCESORIOS,58,MOUSE RATON (EXCEPTO EL CONTROLADO POR LA SBN),4,MOUSE OPTICO CON PUERTO USB,112,UNIDAD,208,LOGITECH,1.0,20.0,20.0
