CODIGOENTIDAD,RUC_ENTIDAD,ENTIDAD,ENTIDAD_DEPARTAMENTO,ENTIDAD_PROVINCIA,ENTIDAD_DISTRITO,FECHACONVOCATORIA,OBJETOCONTRACTUAL,PROCESO,CODIGOCONVOCATORIA,DESCRIPCION_PROCESO,NUMERO_ITEM,ITEMCONVOCA_DESCRIPCION,ITEMCONVOCA_UNIDADMEDIDA,SECTOR,TIPOENTIDADOEE,TIPOPROCESO,ITEM_DEPARTAMENTO,ITEM_PROVINCIA,ITEM_DISTRITO,ESTADOITEMCONVOCA,ULTIMO,MONEDA,CAUSAL_EXOR_CONT_DIRECTA,MONTOREFERENCIAL,MONTOREFERENCIALSOLES,MONTOADJUDICADO,MONTOADJUDICADOSOLES,TIPOPROVEEDOR,RUCPROVEEDOR,PROVEEDOR,RUCDETALLEPROVEEDOR,DETALLEPROVEEDOR,URLFICHAPROCESO,RUBROS
1722,20192145831,MUNICIPALIDAD PROVINCIAL DE SANDIA,PUNO,SANDIA,SANDIA,16/03/20,Bien,DIRECTA-PROC-2-2020-MPS/OEC-1,607343,"CONTRATACIAN DIRECTA DE SUMINISTRO DE COMBUSTIBLE DIASEL B5 S-50, PARA LA EJECUCIAN DE LA IOARR DENOMINADO ""REPARACIAN DE DEFENSA RIVEREAA EN EL (LA) MARGEN IZQUIERDA Y DERECHA DEL PUENTE HUATA BARRIOS PIO LEAN Y LOS PINOS EN LA LOCALIDAD DE SANDIA, DISTRITO DE SANDIA, PROVINCIA DE SANDIA, DEPARTAME",1,"CONTRATACIA?N DIRECTA DE SUMINISTRO DE COMBUSTIBLE DIA?SEL B5 S-50, PARA LA EJECUCIA?N DE LA IOARR DENOMINADO ""REPARACIA?N DE DEFENSA RIVEREA?A EN EL (LA) MARGEN IZQUIERDA Y DERECHA DEL PUENTE HUATA BARRIOS PIO LEA?N Y LOS PINOS EN LA LOCALIDAD DE SANDIA,",Galon,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,PUNO,SANDIA,SANDIA,Adjudicado,ULTIMO,Soles,SituaciA3n emergencia,177480.0,177480.0,177480.0,177480.0,Persona Juridica,20603220103,GRIFO BRISAS DE SAN JUAN EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607343,OTROS BIENES
200209,20493452241,MUNICIPALIDAD DISTRITAL DE ANDOAS,LORETO,DATEM DEL MARAAON,ANDOAS,17/03/20,ConsultorAa de Obra,DIRECTA-PROC-1-2020-MDA-OEC-1,607559,"ELABORACION DEL EXPEDIENTE TECNICO DE LAS IOARR: CON CUI NAdeg 2455077, 2455117, 2455122",1,"ELABORACION DE EXPEDIENTE TECNICO DE LA IOARR: RENOVACION DE AULA, AMBIENTE ADMINISTRATIVO Y SERVICIOS HIGIENICOS YO VESTIDORES; REPARACION DE CERCO PERIMETRICO; ADQUISICION DE MOBILIARIO DE AULA Y MOBILIARIO DE AMBIENTES DE GESTION ADMINISTRATIVA Y ACADEMICA; EN EL(LA) IE 62433 - ANDOAS EN LA LOCALIDAD CHIMARA, DISTRITO DE ANDOAS, PROVINCIA DATEM DEL MARAA?ON, DEPARTAMENTO LORETO",Servicio,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,LORETO,DATEM DEL MARAAON,ANDOAS,Adjudicado,ULTIMO,Soles,SituaciA3n emergencia,40000.0,40000.0,40000.0,40000.0,Persona Juridica,20601764050,NOUS GROUP S.A.C.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607559,OTROS SERVICIOS
200209,20493452241,MUNICIPALIDAD DISTRITAL DE ANDOAS,LORETO,DATEM DEL MARAAON,ANDOAS,17/03/20,ConsultorAa de Obra,DIRECTA-PROC-1-2020-MDA-OEC-1,607559,"ELABORACION DEL EXPEDIENTE TECNICO DE LAS IOARR: CON CUI NAdeg 2455077, 2455117, 2455122",2,"ELABORACION DEL EXPEDIENTE TECNICO DE LA IOARR: RENOVACION DE AULA, AMBIENTE ADMINISTRATIVO Y BAA?O O SERVICIOS SANITARIOS; REPARACION DE CERCO PERIMETRICO; ADQUISICION DE MOBILIARIO DE AULA Y MOBILIARIO DE AMBIENTES DE GESTION ADMINISTRATIVA Y ACADEMICA; EN EL(LA) CETPRO PADRE LUIS BOLLA EN LA LOCALIDAD SAN FERNANDO, DISTRITO DE ANDOAS, PROVINCIA DATEM DEL MARAA?ON, DEPARTAMENTO LORETO",Servicio,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,LORETO,DATEM DEL MARAAON,ANDOAS,Adjudicado,ULTIMO,Soles,SituaciA3n emergencia,40000.0,40000.0,40000.0,40000.0,Persona Juridica,20601764050,NOUS GROUP S.A.C.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607559,OTROS SERVICIOS
200209,20493452241,MUNICIPALIDAD DISTRITAL DE ANDOAS,LORETO,DATEM DEL MARAAON,ANDOAS,17/03/20,ConsultorAa de Obra,DIRECTA-PROC-1-2020-MDA-OEC-1,607559,"ELABORACION DEL EXPEDIENTE TECNICO DE LAS IOARR: CON CUI NAdeg 2455077, 2455117, 2455122",3,"ELABORACION DEL EXPEDIENTE TECNICO DE LA IOARR: RENOVACION DE AULA, AMBIENTE ADMINISTRATIVO Y SERVICIOS HIGIENICOS YO VESTIDORES; ADQUISICION DE MOBILIARIO DE AULA Y MOBILIARIO DE AMBIENTES DE GESTION ADMINISTRATIVA Y ACADEMICA; EN EL(LA) IE 62411 - ANDOAS EN LA LOCALIDAD SAN FERNANDO, DISTRITO DE ANDOAS, PROVINCIA DATEM DEL MARAA?ON, DEPARTAMENTO LORETO",Servicio,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,LORETO,DATEM DEL MARAAON,ANDOAS,Adjudicado,ULTIMO,Soles,SituaciA3n emergencia,40000.0,40000.0,40000.0,40000.0,Persona Juridica,20601764050,NOUS GROUP S.A.C.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607559,OTROS SERVICIOS
10146,20481772550,POLICAA NACIONAL DEL PERA - III REGIAN TERRITORIAL TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,3/4/20,Bien,DIRECTA-PROC-13-2020-III-DIRTEPOL-T-1,607606,"ADQUISICION DE MATERIAL DE ASEO, LIMPIEZA Y TOCADOR PARA LAS UNIDADES PNP DE LA REGPOL ANCASH Y  LA LIBERTAD  INTEGRANTE DE LA UE. 005-III-DIRTEPOL TRUJILLO",1,"ADQUISICION DE MATERIAL DE ASEO, LIMPIEZA Y TOCADOR DE LA REGION POLICIAL ANCASH Y LA LIBERTAD - PERTENECIENTES A LA  UE. NA? 005 - ITEM PAQUETE I : XII MACRO REGION POLICIAL ANCASH",Unidad,INTERIOR,GOBIERNO NACIONAL,ContrataciA3n Directa,ANCASH,HUARAZ,HUARAZ,Contratado,ULTIMO,Soles,SituaciA3n emergencia,105093.0,105093.0,105093.0,105093.0,Persona Juridica,20602348106,CORPORACION ALME E.I.R.L.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607606,PROD. ASEO Y LIMPIEZA
10146,20481772550,POLICAA NACIONAL DEL PERA - III REGIAN TERRITORIAL TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,3/4/20,Bien,DIRECTA-PROC-13-2020-III-DIRTEPOL-T-1,607606,"ADQUISICION DE MATERIAL DE ASEO, LIMPIEZA Y TOCADOR PARA LAS UNIDADES PNP DE LA REGPOL ANCASH Y  LA LIBERTAD  INTEGRANTE DE LA UE. 005-III-DIRTEPOL TRUJILLO",2,"ADQUISICION DE MATERIAL DE ASEO, LIMPIEZA Y TOCADOR DE LA REGION POLICIAL ANCASH Y LA LIBERTAD - PERTENECIENTES A LA UE. NA? 005 - ITEM PAQUETE II : III MACRO REGION POLICIAL - LL",Unidad,INTERIOR,GOBIERNO NACIONAL,ContrataciA3n Directa,LA LIBERTAD,TRUJILLO,TRUJILLO,Contratado,ULTIMO,Soles,SituaciA3n emergencia,114835.0,114835.0,114835.0,114835.0,Persona Juridica,20602348106,CORPORACION ALME E.I.R.L.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607606,PROD. ASEO Y LIMPIEZA
200266,20520711865,AUTORIDAD NACIONAL DEL AGUA,LIMA,LIMA,SAN ISIDRO,19/03/20,Bien,DIRECTA-PROC-2-2020-ANA-1,607617,SUMINISTRO DE COMBUSTIBLE TIPO DIESEL B5 - S50 PARA ABASTECER LAS MAQUINARIAS QUE ATENDERAN LAS EMERGENCIAS EN LOS DISTRITOS DE CAIRANI Y QUILAHUANI EN LA PROVINCIA DE CANDARAVE Y AL DISTRITO DE LOCUMBA DE LA PROVINCIA DE JORGE BASADRE,1,CONTRATACIA?N DEL SUMINISTRO DE COMBUSTIBLE TIPO DIA?SEL B5-S50 PARA ABASTECER LAS MAQUINARIAS QUE ATENDERA?N LAS EMERGENCIAS EN LOS DISTRITOS DE CAIRANI Y QUILAHUANI  EN LA PROVINCIA DE CANDARAVE Y AL DISTRITO DE LOCUMBA DE LA PROVINCIA DE JORGE BASADR,Unidad,AGRICULTURA,GOBIERNO NACIONAL,ContrataciA3n Directa,TACNA,TACNA,TACNA,Adjudicado,ULTIMO,Soles,SituaciA3n emergencia,356454.93,356454.93,356454.93,356454.93,Persona Juridica,20449314868,ESTACION DE SERVICIOS TEXA&#39;S SOCIEDAD ANONIMA CERRADA,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607617,OTROS BIENES
202925,20601218471,GOBIERNO REGIONAL CAJAMARCA SALUD SAN IGNACIO,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,14/04/20,Bien,DIRECTA-PROC-1-2020-GRCAJ-DSRS/RSSI-1,607637,"ADQUISICIAN DE 10000 UNIDADES DE MANDIL DESCARTABLE ESTERIL TALLA L PARA SER DISTRIBUIDO A LAS IPRESS DE LA UNIDAD EJECUTORA SALUD SAN IGNACIO, EN EL MARCO DEL DECRETO SUPREMO NAdeg008-2020-SA.",1,MANDIL DESCARTABLE ESTERIL L,Unidad,GOBIERNO REGIONAL,GOBIERNO REGIONAL,ContrataciA3n Directa,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,Contratado,ULTIMO,Soles,SituaciA3n emergencia,100000.0,100000.0,100000.0,100000.0,Persona Juridica,20601622549,CH & S MEDILAB SOCIEDAD ANONIMA CERRADA - CH & S MEDILAB S.A.C.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607637,MATERIAL Y EQUIPO MEDICO
10154,20370114952,POLICAA NACIONAL DEL PERA - XI DIRECCIAN TERRITORIAL AREQUIPA,AREQUIPA,AREQUIPA,YANAHUARA,23/03/20,Bien,DIRECTA-PROC-2-2020-UE-022-XI-DIRTE-1,607678,"AdquisiciA3n de diferentes bienes materiales de aseo (alcohol gel antisA(c)ptico de mano y jabA3n lAquido) y protecciA3n personal (mascarillas y guantes quirAorgicos de lA!tex) para las diferentes unidades y sub unidades de la PNP de las Regiones Policiales de Arequipa, Moquegua y Tacna, a consecuencia del brote COVID-19, en atenciA3n al D. S. 044-2020-PCM",1,MATERIALES DE PROTECCION (GUANTES Y MASCARILLAS),Unidad,INTERIOR,GOBIERNO NACIONAL,ContrataciA3n Directa,AREQUIPA,AREQUIPA,YANAHUARA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,503622.0,503622.0,503622.0,503622.0,Persona Natural,10458832400,BUITRON GUEVARA JENNIFER JANET,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607678,MATERIAL Y EQUIPO MEDICO
10154,20370114952,POLICAA NACIONAL DEL PERA - XI DIRECCIAN TERRITORIAL AREQUIPA,AREQUIPA,AREQUIPA,YANAHUARA,23/03/20,Bien,DIRECTA-PROC-2-2020-UE-022-XI-DIRTE-1,607678,"AdquisiciA3n de diferentes bienes materiales de aseo (alcohol gel antisA(c)ptico de mano y jabA3n lAquido) y protecciA3n personal (mascarillas y guantes quirAorgicos de lA!tex) para las diferentes unidades y sub unidades de la PNP de las Regiones Policiales de Arequipa, Moquegua y Tacna, a consecuencia del brote COVID-19, en atenciA3n al D. S. 044-2020-PCM",2,Alcohol gel antiseptico de mano,Unidad,INTERIOR,GOBIERNO NACIONAL,ContrataciA3n Directa,AREQUIPA,AREQUIPA,YANAHUARA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,231255.0,231255.0,231255.0,231255.0,Persona Juridica,20503850517,QUIMICA KAZVEL SOCIEDAD ANONIMA CERRADA - QUIMICA KAZVEL S.A.C.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607678,PROD. ASEO Y LIMPIEZA
