ANO_EJE|TIPO_GOBIERNO|TIPO_GOBIERNO_NOMBRE|SECTOR|SECTOR_NOMBRE|PLIEGO|PLIEGO_NOMBRE|SEC_EJEC|EJECUTORA|EJECUTORA_NOMBRE|ALMACEN|SEC_ALMACEN|NOMBRE_ALMACEN|TIPO_TRANSAC|NOMBRE_TIPO_TRANSACCION|NRO_MOVIMTO|NRO_ORDEN|PROVEEDOR|NOMBRE_PROVEEDOR|OBSERVACION|FECHA_MOVIMTO|MES_MOVIMTO|NOMBRE_MES|TIPO_USO|NRO_GUIA|NRO_FACTURA|ESTADO_KARDEX|FECHA_REG|DOCUM_CONFIRMA|FECHA_CONFIRMA|GLOSA|TIPO_BIEN|GRUPO_BIEN|NOMBRE_GRUPO|CLASE_BIEN|NOMBRE_CLASE|FAMILIA_BIEN|NOMBRE_FAMILIA|ITEM_BIEN|NOMBRE_ITEM|UNIDAD_MEDIDA|UNIDAD_MEDIDA_DESC|MARCA|NOMBRE_MARCA|CANT_ARTICULO|PRECIO_UNIT|VALOR_TOTAL
2020|E|GOBIERNO NACIONAL               |11|SALUD|011|M. DE SALUD|1670|142|HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR|001|000|ALMACÉN GENERAL                         |4|NEA - DONACION                  |1|0|0|AEONN MED PERU S.A.C                                                                                |DONACION DE BIENES  Resolucion Administrativa n°01-2020-OAD-Heves                                   |10/03/2020|3|MARZO                           |C|01        |R.A.001-2020   |CON CONFORMIDAD                 |10/03/2020 8:39:13|R.A.001-2020                                      |10/03/2020|DONACION DE BIENES  RESOLUCION ADMINISTRATIVA N°01-2020-OAD-HEVES                                                                                                                                                                                                                                           |B|53|HOSPITALIZACIÓN|64|MOBILIARIO DE HOSPITALIZACIÓN|2525|CAMILLA DE METAL|0033|CAMILLA DE METAL RODANTE CON BARANDAS|112|UNIDAD|1255|METAX                                                                                               |1|1525,42|1525,42
2020|E|GOBIERNO NACIONAL               |11|SALUD|011|M. DE SALUD|1670|142|HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR|001|000|ALMACÉN GENERAL                         |4|NEA - DONACION                  |1|0|0|AEONN MED PERU S.A.C                                                                                |DONACION DE BIENES  Resolucion Administrativa n°01-2020-OAD-Heves                                   |10/03/2020|3|MARZO                           |C|01        |R.A.001-2020   |CON CONFORMIDAD                 |10/03/2020 8:39:13|R.A.001-2020                                      |10/03/2020|DONACION DE BIENES  RESOLUCION ADMINISTRATIVA N°01-2020-OAD-HEVES                                                                                                                                                                                                                                           |B|53|HOSPITALIZACIÓN|64|MOBILIARIO DE HOSPITALIZACIÓN|9379|SILLA DE RUEDAS METÁLICA|0001|SILLA DE RUEDAS METALICA|112|UNIDAD|1528|S/M                                                                                                 |3|423,73|1271,19
2020|E|GOBIERNO NACIONAL               |11|SALUD|011|M. DE SALUD|1670|142|HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR|001|000|ALMACÉN GENERAL                         |4|NEA - DONACION                  |1|0|0|AEONN MED PERU S.A.C                                                                                |DONACION DE BIENES  Resolucion Administrativa n°01-2020-OAD-Heves                                   |10/03/2020|3|MARZO                           |C|01        |R.A.001-2020   |CON CONFORMIDAD                 |10/03/2020 8:39:13|R.A.001-2020                                      |10/03/2020|DONACION DE BIENES  RESOLUCION ADMINISTRATIVA N°01-2020-OAD-HEVES                                                                                                                                                                                                                                           |B|60|INSTRUMENTO DE MEDICIÓN|22|EQUIPO INSTRUMENTOS DE MEDICIÓN |8762|TENSIÓMETRO|0002|TENSIOMETRO DE MERCURIO PARA MESA PARA ADULTO|112|UNIDAD|1528|S/M                                                                                                 |3|254,24|762,72
2020|E|GOBIERNO NACIONAL               |11|SALUD|011|M. DE SALUD|1670|142|HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR|001|000|ALMACÉN GENERAL                         |4|NEA - DONACION                  |1|0|0|AEONN MED PERU S.A.C                                                                                |DONACION DE BIENES  Resolucion Administrativa n°01-2020-OAD-Heves                                   |10/03/2020|3|MARZO                           |C|01        |R.A.001-2020   |CON CONFORMIDAD                 |10/03/2020 8:39:13|R.A.001-2020                                      |10/03/2020|DONACION DE BIENES  RESOLUCION ADMINISTRATIVA N°01-2020-OAD-HEVES                                                                                                                                                                                                                                           |B|49|ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)|51|INSTRUMENTAL MÉDICO QUIRURGICO|0006|ESTETOSCOPIO |0012|ESTETOSCOPIO CLINICO ADULTO|112|UNIDAD|1600|TENSO                                                                                               |3|211,863333|635,59
2020|E|GOBIERNO NACIONAL               |11|SALUD|011|M. DE SALUD|522|036|HOSPITAL CARLOS LANFRANCO LA HOZ|001|018|FARMACIA SIS - DONACIONES Y TRANSFERENCI|4|NEA - DONACION                  |3|0|0|DIRECCION DE REDES INTEGREADAS DE SALUD LIMA NORTE                                                  ||27/03/2020|3|MARZO                           |C|015       |PCS. 11        |CON CONFORMIDAD                 |27/03/2020 8:51:03|PCS 11                                            |27/03/2020 8:52:25|0                                                                                                                                                                                                                                                                                                           |B|58|PRODUCTOS FARMACÉUTICOS|05|MEDICAMENTOS PARA EL SISTEMA NERVIOSO CENTRAL: ANTICONVULSIVOS|0011|FENOBARBITAL.|0004|FENOBARBITAL SODICO 100 mg/mL INY 2 mL|112|UNIDAD|328|SIN MARCA                                                                                           |1|9,39|9,39
2020|E|GOBIERNO NACIONAL               |11|SALUD|011|M. DE SALUD|137|021|HOSPITAL CAYETANO HEREDIA|001|000|ALMACEN CENTRAL                         |4|NEA - DONACION                  |2|0|0|AJEPER S.A.                                                                                         |REF.: GUÍA N°0587252 / FACT.ELECT.N°00447844                                                        |26/03/2020|3|MARZO                           |C|117       |117            |CON CONFORMIDAD                 |07/04/2020 9:41:07|117                                               |07/04/2020 10:22:13|DONACION AJE                                                                                                                                                                                                                                                                                                |B|09|ALIMENTOS Y BEBIDAS PARA PERSONAS|11|BEBIDAS Y AFINES|0004|JUGOS Y SIMILARES NATURALES Y ENVASADOS|0052|JUGO DE DURAZNO X 1 L|112|UNIDAD|2099|PULP                                                                                                |498|1,45|722,1
2020|E|GOBIERNO NACIONAL               |11|SALUD|011|M. DE SALUD|137|021|HOSPITAL CAYETANO HEREDIA|001|000|ALMACEN CENTRAL                         |4|NEA - DONACION                  |2|0|0|AJEPER S.A.                                                                                         |REF.: GUÍA N°0587252 / FACT.ELECT.N°00447844                                                        |26/03/2020|3|MARZO                           |C|117       |117            |CON CONFORMIDAD                 |07/04/2020 9:41:07|117                                               |07/04/2020 10:22:13|DONACION AJE                                                                                                                                                                                                                                                                                                |B|09|ALIMENTOS Y BEBIDAS PARA PERSONAS|11|BEBIDAS Y AFINES|0010|BEBIDAS HIDRATANTES|0029|BEBIDA ENERGIZANTE X 500 mL APROX.|112|UNIDAD|2100|SPORADE                                                                                             |1500|0,61|915
2020|E|GOBIERNO NACIONAL               |11|SALUD|011|M. DE SALUD|137|021|HOSPITAL CAYETANO HEREDIA|001|000|ALMACEN CENTRAL                         |4|NEA - DONACION                  |2|0|0|AJEPER S.A.                                                                                         |REF.: GUÍA N°0587252 / FACT.ELECT.N°00447844                                                        |26/03/2020|3|MARZO                           |C|117       |117            |CON CONFORMIDAD                 |07/04/2020 9:41:07|117                                               |07/04/2020 10:22:13|DONACION AJE                                                                                                                                                                                                                                                                                                |B|09|ALIMENTOS Y BEBIDAS PARA PERSONAS|11|BEBIDAS Y AFINES|0002|AGUAS MINERALES|0067|AGUA MINERAL SIN GAS X 620 mL X 15|112|UNIDAD|2098|CIELO                                                                                               |167|3,3|551,1
2020|E|GOBIERNO NACIONAL               |11|SALUD|131|INSTITUTO NACIONAL DE SALUD|151|001|INSTITUTO NACIONAL DE SALUD|001|000|ALMACEN CENTRAL                         |4|NEA - DONACION                  |17|0|0|PERU COMPRAS                                                                                        |PECOSA 0001-20  25.03.2020  INGRESO  25.03.2020                                                     |25/03/2020|3|MARZO                           |C|PEC 001-20|17             |CON CONFORMIDAD                 |26/03/2020 16:35:59|PEC 001-20                                        |23/03/2020|INS                                                                                                                                                                                                                                                                                                         |B|51|LABORATORIO Y GABINETE: IMPLEMENTOS, MATERIALES, REPUESTOS Y ACCESORIOS|20|LABORATORIO Y GABINETE: MATERIALES|0037|LANCETAS|0052|LANCETA DESCARTABLE RETRÁCTIL 23 G GRADUABLE X 1.3 mm, 1.8 mm , 2.3 mm|112|UNIDAD|34513|PERU COMPRAS 20                                                                                     |700000|0,465|325500
2020|E|GOBIERNO NACIONAL               |11|SALUD|131|INSTITUTO NACIONAL DE SALUD|151|001|INSTITUTO NACIONAL DE SALUD|001|000|ALMACEN CENTRAL                         |4|NEA - DONACION                  |18|0|0|PERU COMPRAS                                                                                        |PECOSA 0001-20-A 27.03.2020 RECIBIDO EL 28.03.2020                                                  |27/03/2020|3|MARZO                           |C|PEC 01A-20|18             |CON CONFORMIDAD                 |28/03/2020 7:37:24|PECOSA 001-20                                     |28/03/2020 7:49:17|INS                                                                                                                                                                                                                                                                                                         |B|51|LABORATORIO Y GABINETE: IMPLEMENTOS, MATERIALES, REPUESTOS Y ACCESORIOS|20|LABORATORIO Y GABINETE: MATERIALES|0035|PUNTERAS PARA PIPETA/MICROPIPETA|0172|TIPS ESTERIL CON FILTRO 0.1 uL - 10 uL X 96 |112|UNIDAD|34514|LABCON                                                                                              |650|25,86|16809
2020|E|GOBIERNO NACIONAL               |11|SALUD|131|INSTITUTO NACIONAL DE SALUD|151|001|INSTITUTO NACIONAL DE SALUD|001|000|ALMACEN CENTRAL                         |4|NEA - DONACION                  |18|0|0|PERU COMPRAS                                                                                        |PECOSA 0001-20-A 27.03.2020 RECIBIDO EL 28.03.2020                                                  |27/03/2020|3|MARZO                           |C|PEC 01A-20|18             |CON CONFORMIDAD                 |28/03/2020 7:37:24|PECOSA 001-20                                     |28/03/2020 7:49:17|INS                                                                                                                                                                                                                                                                                                         |B|51|LABORATORIO Y GABINETE: IMPLEMENTOS, MATERIALES, REPUESTOS Y ACCESORIOS|20|LABORATORIO Y GABINETE: MATERIALES|0035|PUNTERAS PARA PIPETA/MICROPIPETA|0170|TIPS ESTERIL CON FILTRO 20 uL - 200 uL X 96|112|UNIDAD|34514|LABCON                                                                                              |420|25,15|10563
