"departamento","provincia","distrito","ubigeo"
"Amazonas","Bagua","Aramango","010202"
"Amazonas","Bagua","Bagua","010205"
"Amazonas","Bagua","Copallin","010203"
"Amazonas","Bagua","El Parco","010204"
"Amazonas","Bagua","Imaza","010206"
"Amazonas","Bagua","La Peca","010201"
"Amazonas","Bongara","Chisquilla","010304"
"Amazonas","Bongara","Churuja","010305"
"Amazonas","Bongara","Corosha","010302"
"Amazonas","Bongara","Cuispes","010303"
"Amazonas","Bongara","Florida","010306"
"Amazonas","Bongara","Jazan","010312"
"Amazonas","Bongara","Jumbilla","010301"
"Amazonas","Bongara","Recta","010307"
"Amazonas","Bongara","San Carlos","010308"
"Amazonas","Bongara","Shipasbamba","010309"
"Amazonas","Bongara","Valera","010310"
"Amazonas","Bongara","Yambrasbamba","010311"
"Amazonas","Chachapoyas","Asuncion","010102"
"Amazonas","Chachapoyas","Balsas","010103"
"Amazonas","Chachapoyas","Chachapoyas","010101"
"Amazonas","Chachapoyas","Cheto","010104"
"Amazonas","Chachapoyas","Chiliquin","010105"
"Amazonas","Chachapoyas","Chuquibamba","010106"
"Amazonas","Chachapoyas","Granada","010107"
"Amazonas","Chachapoyas","Huancas","010108"
"Amazonas","Chachapoyas","La Jalca","010109"
"Amazonas","Chachapoyas","Leimebamba","010110"
"Amazonas","Chachapoyas","Levanto","010111"
"Amazonas","Chachapoyas","Magdalena","010112"
"Amazonas","Chachapoyas","Mariscal Castilla","010113"
"Amazonas","Chachapoyas","Molinopampa","010114"
"Amazonas","Chachapoyas","Montevideo","010115"
"Amazonas","Chachapoyas","Olleros","010116"
"Amazonas","Chachapoyas","Quinjalca","010117"
"Amazonas","Chachapoyas","San Francisco De Daguas","010118"
"Amazonas","Chachapoyas","San Isidro De Maino","010119"
"Amazonas","Chachapoyas","Soloco","010120"
"Amazonas","Chachapoyas","Sonche","010121"
"Amazonas","Condorcanqui","El Cenepa","010603"
"Amazonas","Condorcanqui","Nieva","010601"
"Amazonas","Condorcanqui","Rio Santiago","010602"
"Amazonas","Luya","Camporredondo","010402"
"Amazonas","Luya","Cocabamba","010403"
"Amazonas","Luya","Colcamar","010404"
"Amazonas","Luya","Conila","010405"
"Amazonas","Luya","Inguilpata","010406"
"Amazonas","Luya","Lamud","010401"
"Amazonas","Luya","Longuita","010407"
"Amazonas","Luya","Lonya Chico","010408"
"Amazonas","Luya","Luya","010409"
"Amazonas","Luya","Luya Viejo","010410"
"Amazonas","Luya","Maria","010411"
"Amazonas","Luya","Ocalli","010412"
"Amazonas","Luya","Ocumal","010413"
"Amazonas","Luya","Pisuquia","010414"
"Amazonas","Luya","Providencia","010423"
"Amazonas","Luya","San Cristobal","010415"
"Amazonas","Luya","San Francisco Del Yeso","010416"
"Amazonas","Luya","San Jeronimo","010417"
"Amazonas","Luya","San Juan De Lopecancha","010418"
"Amazonas","Luya","Santa Catalina","010419"
"Amazonas","Luya","Santo Tomas","010420"
"Amazonas","Luya","Tingo","010421"
"Amazonas","Luya","Trita","010422"
"Amazonas","Rodriguez De Mendoza","Chirimoto","010503"
"Amazonas","Rodriguez De Mendoza","Cochamal","010502"
"Amazonas","Rodriguez De Mendoza","Huambo","010504"
"Amazonas","Rodriguez De Mendoza","Limabamba","010505"
"Amazonas","Rodriguez De Mendoza","Longar","010506"
"Amazonas","Rodriguez De Mendoza","Mariscal Benavides","010508"
"Amazonas","Rodriguez De Mendoza","Milpucc","010507"
"Amazonas","Rodriguez De Mendoza","Omia","010509"
"Amazonas","Rodriguez De Mendoza","San Nicolas","010501"
"Amazonas","Rodriguez De Mendoza","Santa Rosa","010510"
"Amazonas","Rodriguez De Mendoza","Totora","010511"
"Amazonas","Rodriguez De Mendoza","Vista Alegre","010512"
"Amazonas","Utcubamba","Bagua Grande","010701"
"Amazonas","Utcubamba","Cajaruro","010702"
"Amazonas","Utcubamba","Cumba","010703"
"Amazonas","Utcubamba","El Milagro","010704"
"Amazonas","Utcubamba","Jamalca","010705"
"Amazonas","Utcubamba","Lonya Grande","010706"
"Amazonas","Utcubamba","Yamon","010707"
"Ancash","Aija","Aija","020201"
"Ancash","Aija","Coris","020203"
"Ancash","Aija","Huacllan","020205"
"Ancash","Aija","La Merced","020206"
"Ancash","Aija","Succha","020208"
"Ancash","Antonio Raimondi","Aczo","021602"
"Ancash","Antonio Raimondi","Chaccho","021603"
"Ancash","Antonio Raimondi","Chingas","021604"
"Ancash","Antonio Raimondi","Llamellin","021601"
"Ancash","Antonio Raimondi","Mirgas","021605"
"Ancash","Antonio Raimondi","San Juan De Rontoy","021606"
"Ancash","Asuncion","Acochaca","021802"
"Ancash","Asuncion","Chacas","021801"
"Ancash","Bolognesi","Abelardo Pardo Lezameta","020302"
"Ancash","Bolognesi","Antonio Raymondi","020321"
"Ancash","Bolognesi","Aquia","020304"
"Ancash","Bolognesi","Cajacay","020305"
"Ancash","Bolognesi","Canis","020322"
"Ancash","Bolognesi","Chiquian","020301"
"Ancash","Bolognesi","Colquioc","020323"
"Ancash","Bolognesi","Huallanca","020325"
"Ancash","Bolognesi","Huasta","020311"
"Ancash","Bolognesi","Huayllacayan","020310"
"Ancash","Bolognesi","La Primavera","020324"
"Ancash","Bolognesi","Mangas","020313"
"Ancash","Bolognesi","Pacllon","020315"
"Ancash","Bolognesi","San Miguel De Corpanqui","020317"
"Ancash","Bolognesi","Ticllos","020320"
"Ancash","Carhuaz","Acopampa","020402"
"Ancash","Carhuaz","Amashca","020403"
"Ancash","Carhuaz","Anta","020404"
"Ancash","Carhuaz","Ataquero","020405"
"Ancash","Carhuaz","Carhuaz","020401"
"Ancash","Carhuaz","Marcara","020406"
"Ancash","Carhuaz","Pariahuanca","020407"
"Ancash","Carhuaz","San Miguel De Aco","020408"
"Ancash","Carhuaz","Shilla","020409"
"Ancash","Carhuaz","Tinco","020410"
"Ancash","Carhuaz","Yungar","020411"
"Ancash","Carlos Fermin Fitzcarrald","San Luis","021701"
"Ancash","Carlos Fermin Fitzcarrald","San Nicolas","021703"
