cod_dep_inei,desc_dep_inei,cod_prov_inei,desc_prov_inei,cod_ubigeo_inei,desc_ubigeo_inei,cod_dep_sunat,desc_dep_sunat,cod_prov_sunat,desc_prov_sunat,cod_ubigeo_sunat,desc_ubigeo_sunat,cod_dep_reniec,desc_dep_reniec,cod_prov_reniec,desc_prov_reniec,cod_ubigeo_reniec,desc_ubigeo_reniec,poblacion,superficie,latitud,longitud,region_natural,altitud
01,AMAZONAS,0101,CHACHAPOYAS,010101,CHACHAPOYAS,01,AMAZONAS,0101,CHACHAPOYAS,010101,CHACHAPOYAS,01,Amazonas,0101,Chachapoyas,010101,Chachapoyas,29171,153.78,-6.2294,-77.8714,,2338
01,AMAZONAS,0101,CHACHAPOYAS,010102,ASUNCION,01,AMAZONAS,0101,CHACHAPOYAS,010102,ASUNCION,01,Amazonas,0101,Chachapoyas,010102,Asunción,288,25.71,-6.0317,-77.7122,,2783
01,AMAZONAS,0101,CHACHAPOYAS,010103,BALSAS,01,AMAZONAS,0101,CHACHAPOYAS,010103,BALSAS,01,Amazonas,0101,Chachapoyas,010103,Balsas,1644,357.09,-6.8375,-78.0214,,841
01,AMAZONAS,0101,CHACHAPOYAS,010104,CHETO,01,AMAZONAS,0101,CHACHAPOYAS,010104,CHETO,01,Amazonas,0101,Chachapoyas,010104,Cheto,591,56.97,-6.2558,-77.7003,,2121
01,AMAZONAS,0101,CHACHAPOYAS,010105,CHILIQUIN,01,AMAZONAS,0101,CHACHAPOYAS,010105,CHILIQUIN,01,Amazonas,0101,Chachapoyas,010105,Chiliquin,687,143.43,-6.0778,-77.7392,,2617
01,AMAZONAS,0101,CHACHAPOYAS,010106,CHUQUIBAMBA,01,AMAZONAS,0101,CHACHAPOYAS,010106,CHUQUIBAMBA,01,Amazonas,0101,Chachapoyas,010106,Chuquibamba,2064,278.63,-6.9333,-77.8575,,2784
01,AMAZONAS,0101,CHACHAPOYAS,010107,GRANADA,01,AMAZONAS,0101,CHACHAPOYAS,010107,GRANADA,01,Amazonas,0101,Chachapoyas,010107,Granada,379,181.41,-6.0997,-77.6344,,3020
01,AMAZONAS,0101,CHACHAPOYAS,010108,HUANCAS,01,AMAZONAS,0101,CHACHAPOYAS,010108,HUANCAS,01,Amazonas,0101,Chachapoyas,010108,Huancas,1329,48.79,-6.1747,-77.8686,,2578
01,AMAZONAS,0101,CHACHAPOYAS,010109,LA JALCA,01,AMAZONAS,0101,CHACHAPOYAS,010109,LA JALCA,01,Amazonas,0101,Chachapoyas,010109,La Jalca,5513,380.39,-6.4825,-77.8192,,2856
01,AMAZONAS,0101,CHACHAPOYAS,010110,LEIMEBAMBA,01,AMAZONAS,0101,CHACHAPOYAS,010110,LEIMEBAMBA,01,Amazonas,0101,Chachapoyas,010110,Leimebamba,4206,373.14,-6.6636,-77.8006,,2207
01,AMAZONAS,0101,CHACHAPOYAS,010111,LEVANTO,01,AMAZONAS,0101,CHACHAPOYAS,010111,LEVANTO,01,Amazonas,0101,Chachapoyas,010111,Levanto,862,77.54,-6.3086,-77.8994,,2663
01,AMAZONAS,0101,CHACHAPOYAS,010112,MAGDALENA,01,AMAZONAS,0101,CHACHAPOYAS,010112,MAGDALENA,01,Amazonas,0101,Chachapoyas,010112,Magdalena,782,135.47,-6.3736,-77.9017,,1858
01,AMAZONAS,0101,CHACHAPOYAS,010113,MARISCAL CASTILLA,01,AMAZONAS,0101,CHACHAPOYAS,010113,MARISCAL CASTILLA,01,Amazonas,0101,Chachapoyas,010113,Mariscal Castilla,986,83.58,-6.5939,-77.8053,,2198
01,AMAZONAS,0101,CHACHAPOYAS,010114,MOLINOPAMPA,01,AMAZONAS,0101,CHACHAPOYAS,010114,MOLINOPAMPA,01,Amazonas,0101,Chachapoyas,010114,Molinopampa,2750,333.86,-6.2056,-77.6683,,2407
01,AMAZONAS,0101,CHACHAPOYAS,010115,MONTEVIDEO,01,AMAZONAS,0101,CHACHAPOYAS,010115,MONTEVIDEO,01,Amazonas,0101,Chachapoyas,010115,Montevideo,572,119.01,-6.6133,-77.8025,,2408
01,AMAZONAS,0101,CHACHAPOYAS,010116,OLLEROS,01,AMAZONAS,0101,CHACHAPOYAS,010116,OLLEROS,01,Amazonas,0101,Chachapoyas,010116,Olleros,363,125.16,-6.0239,-77.6761,,3143
