cod_dep_inei,desc_dep_inei,cod_prov_inei,desc_prov_inei,cod_ubigeo_inei,desc_ubigeo_inei,cod_dep_sunat,desc_dep_sunat,cod_prov_sunat,desc_prov_sunat,cod_ubigeo_sunat,desc_ubigeo_sunat,poblacion,superficie,latitud,longitud,region_natural,altitud,cod_ubigeo_reniec,desc_dep_reniec,desc_prov_reniec,desc_ubigeo_reniec
01,AMAZONAS,0101,CHACHAPOYAS,010101,CHACHAPOYAS,01,AMAZONAS,0101,CHACHAPOYAS,010101,CHACHAPOYAS,29171,153.78,-6.2294,-77.8714,,2338,010101,Amazonas,Chachapoyas,Chachapoyas
01,AMAZONAS,0101,CHACHAPOYAS,010102,ASUNCION,01,AMAZONAS,0101,CHACHAPOYAS,010102,ASUNCION,288,25.71,-6.0317,-77.7122,,2783,010102,Amazonas,Chachapoyas,Asunción
01,AMAZONAS,0101,CHACHAPOYAS,010103,BALSAS,01,AMAZONAS,0101,CHACHAPOYAS,010103,BALSAS,1644,357.09,-6.8375,-78.0214,,841,010103,Amazonas,Chachapoyas,Balsas
01,AMAZONAS,0101,CHACHAPOYAS,010104,CHETO,01,AMAZONAS,0101,CHACHAPOYAS,010104,CHETO,591,56.97,-6.2558,-77.7003,,2121,010104,Amazonas,Chachapoyas,Cheto
01,AMAZONAS,0101,CHACHAPOYAS,010105,CHILIQUIN,01,AMAZONAS,0101,CHACHAPOYAS,010105,CHILIQUIN,687,143.43,-6.0778,-77.7392,,2617,010105,Amazonas,Chachapoyas,Chiliquin
01,AMAZONAS,0101,CHACHAPOYAS,010106,CHUQUIBAMBA,01,AMAZONAS,0101,CHACHAPOYAS,010106,CHUQUIBAMBA,2064,278.63,-6.9333,-77.8575,,2784,010106,Amazonas,Chachapoyas,Chuquibamba
01,AMAZONAS,0101,CHACHAPOYAS,010107,GRANADA,01,AMAZONAS,0101,CHACHAPOYAS,010107,GRANADA,379,181.41,-6.0997,-77.6344,,3020,010107,Amazonas,Chachapoyas,Granada
01,AMAZONAS,0101,CHACHAPOYAS,010108,HUANCAS,01,AMAZONAS,0101,CHACHAPOYAS,010108,HUANCAS,1329,48.79,-6.1747,-77.8686,,2578,010108,Amazonas,Chachapoyas,Huancas
01,AMAZONAS,0101,CHACHAPOYAS,010109,LA JALCA,01,AMAZONAS,0101,CHACHAPOYAS,010109,LA JALCA,5513,380.39,-6.4825,-77.8192,,2856,010109,Amazonas,Chachapoyas,La Jalca
01,AMAZONAS,0101,CHACHAPOYAS,010110,LEIMEBAMBA,01,AMAZONAS,0101,CHACHAPOYAS,010110,LEIMEBAMBA,4206,373.14,-6.6636,-77.8006,,2207,010110,Amazonas,Chachapoyas,Leimebamba
01,AMAZONAS,0101,CHACHAPOYAS,010111,LEVANTO,01,AMAZONAS,0101,CHACHAPOYAS,010111,LEVANTO,862,77.54,-6.3086,-77.8994,,2663,010111,Amazonas,Chachapoyas,Levanto
01,AMAZONAS,0101,CHACHAPOYAS,010112,MAGDALENA,01,AMAZONAS,0101,CHACHAPOYAS,010112,MAGDALENA,782,135.47,-6.3736,-77.9017,,1858,010112,Amazonas,Chachapoyas,Magdalena
01,AMAZONAS,0101,CHACHAPOYAS,010113,MARISCAL CASTILLA,01,AMAZONAS,0101,CHACHAPOYAS,010113,MARISCAL CASTILLA,986,83.58,-6.5939,-77.8053,,2198,010113,Amazonas,Chachapoyas,Mariscal Castilla
01,AMAZONAS,0101,CHACHAPOYAS,010114,MOLINOPAMPA,01,AMAZONAS,0101,CHACHAPOYAS,010114,MOLINOPAMPA,2750,333.86,-6.2056,-77.6683,,2407,010114,Amazonas,Chachapoyas,Molinopampa
01,AMAZONAS,0101,CHACHAPOYAS,010115,MONTEVIDEO,01,AMAZONAS,0101,CHACHAPOYAS,010115,MONTEVIDEO,572,119.01,-6.6133,-77.8025,,2408,010115,Amazonas,Chachapoyas,Montevideo
01,AMAZONAS,0101,CHACHAPOYAS,010116,OLLEROS,01,AMAZONAS,0101,CHACHAPOYAS,010116,OLLEROS,363,125.16,-6.0239,-77.6761,,3143,010116,Amazonas,Chachapoyas,Olleros
01,AMAZONAS,0101,CHACHAPOYAS,010117,QUINJALCA,01,AMAZONAS,0101,CHACHAPOYAS,010117,QUINJALCA,830,91.59,-6.085,-77.66,,3184,010117,Amazonas,Chachapoyas,Quinjalca
01,AMAZONAS,0101,CHACHAPOYAS,010118,SAN FRANCISCO DE DAGUAS,01,AMAZONAS,0101,CHACHAPOYAS,010118,SAN FRANCISCO DE DAGUAS,351,47.41,-6.2333,-77.7392,,2006,010118,Amazonas,Chachapoyas,San Francisco de Daguas
01,AMAZONAS,0101,CHACHAPOYAS,010119,SAN ISIDRO DE MAINO,01,AMAZONAS,0101,CHACHAPOYAS,010119,SAN ISIDRO DE MAINO,703,101.67,-6.3533,-77.8439,,2329,010119,Amazonas,Chachapoyas,San Isidro de Maino
01,AMAZONAS,0101,CHACHAPOYAS,010120,SOLOCO,01,AMAZONAS,0101,CHACHAPOYAS,010120,SOLOCO,1302,84.48,-6.2619,-77.7453,,2387,010120,Amazonas,Chachapoyas,Soloco
01,AMAZONAS,0101,CHACHAPOYAS,010121,SONCHE,01,AMAZONAS,0101,CHACHAPOYAS,010121,SONCHE,218,113.26,-6.2183,-77.7753,,2079,010121,Amazonas,Chachapoyas,Sonche
01,AMAZONAS,0102,BAGUA,010201,BAGUA,01,AMAZONAS,0102,BAGUA,010201,BAGUA,26091,150.99,-5.6389,-78.5319,,422,010205,Amazonas,Bagua,Bagua
01,AMAZONAS,0102,BAGUA,010202,ARAMANGO,01,AMAZONAS,0102,BAGUA,010202,ARAMANGO,10940,809.07,-5.4156,-78.4361,,490,010202,Amazonas,Bagua,Aramango
01,AMAZONAS,0102,BAGUA,010203,COPALLIN,01,AMAZONAS,0102,BAGUA,010203,COPALLIN,6319,99.05,-5.6733,-78.4228,,694,010203,Amazonas,Bagua,Copallin
01,AMAZONAS,0102,BAGUA,010204,EL PARCO,01,AMAZONAS,0102,BAGUA,010204,EL PARCO,1492,18.48,-5.6247,-78.4764,,603,010204,Amazonas,Bagua,El Parco
01,AMAZONAS,0102,BAGUA,010205,IMAZA,01,AMAZONAS,0102,BAGUA,010205,IMAZA,24323,4430.84,-5.16,-78.2903,,304,010206,Amazonas,Bagua,Imaza
01,AMAZONAS,0102,BAGUA,010206,LA PECA,01,AMAZONAS,0102,BAGUA,010206,LA PECA,8048,144.29,-5.6092,-78.4344,,868,010201,Amazonas,Bagua,La Peca
01,AMAZONAS,0103,BONGARA,010301,JUMBILLA,01,AMAZONAS,0103,BONGARA,010301,JUMBILLA,1764,154.18,-5.9006,-77.7958,,2078,010301,Amazonas,Bongará,Jumbilla
01,AMAZONAS,0103,BONGARA,010302,CHISQUILLA,01,AMAZONAS,0103,BONGARA,010302,CHISQUILLA,335,174.96,-5.9003,-77.7839,,2550,010304,Amazonas,Bongará,Chisquilla
01,AMAZONAS,0103,BONGARA,010303,CHURUJA,01,AMAZONAS,0103,BONGARA,010303,CHURUJA,269,33.34,-6.0192,-77.9517,,1378,010305,Amazonas,Bongará,Churuja
01,AMAZONAS,0103,BONGARA,010304,COROSHA,01,AMAZONAS,0103,BONGARA,010304,COROSHA,1046,45.67,-5.8294,-77.84,,1919,010302,Amazonas,Bongará,Corosha
01,AMAZONAS,0103,BONGARA,010305,CUISPES,01,AMAZONAS,0103,BONGARA,010305,CUISPES,899,110.72,-5.9236,-77.9392,,1886,010303,Amazonas,Bongará,Cuispes
01,AMAZONAS,0103,BONGARA,010306,FLORIDA,01,AMAZONAS,0103,BONGARA,010306,FLORIDA,8663,203.22,-5.8336,-77.9714,,2250,010306,Amazonas,Bongará,Florida
