cod_dep_inei,desc_dep_inei,cod_prov_inei,desc_prov_inei,cod_ubigeo_inei,desc_ubigeo_inei,cod_dep_reniec,desc_dep_reniec,cod_prov_reniec,desc_prov_reniec,cod_ubigeo_reniec,desc_ubigeo_reniec,cod_dep_sunat,desc_dep_sunat,cod_prov_sunat,desc_prov_sunat,cod_ubigeo_sunat,desc_ubigeo_sunat,poblacion,altitud,latitud,longitud,superficie,region_natural
1.0,AMAZONAS,101,CHACHAPOYAS,10101.0,CHACHAPOYAS,1.0,AMAZONAS,101,CHACHAPOYAS,10101.0,CHACHAPOYAS,1.0,AMAZONAS,101,CHACHAPOYAS,10101.0,CHACHAPOYAS,"29,171",,-6.2294,-77.8714,153.78,
1.0,AMAZONAS,101,CHACHAPOYAS,10102.0,ASUNCION,1.0,AMAZONAS,101,CHACHAPOYAS,10102.0,ASUNCION,1.0,AMAZONAS,101,CHACHAPOYAS,10102.0,ASUNCION,288,,-6.0317,-77.7122,25.71,
1.0,AMAZONAS,101,CHACHAPOYAS,10103.0,BALSAS,1.0,AMAZONAS,101,CHACHAPOYAS,10103.0,BALSAS,1.0,AMAZONAS,101,CHACHAPOYAS,10103.0,BALSAS,"1,644",,-6.8375,-78.0214,357.09,
1.0,AMAZONAS,101,CHACHAPOYAS,10104.0,CHETO,1.0,AMAZONAS,101,CHACHAPOYAS,10104.0,CHETO,1.0,AMAZONAS,101,CHACHAPOYAS,10104.0,CHETO,591,,-6.2558,-77.7003,56.97,
1.0,AMAZONAS,101,CHACHAPOYAS,10105.0,CHILIQUIN,1.0,AMAZONAS,101,CHACHAPOYAS,10105.0,CHILIQUIN,1.0,AMAZONAS,101,CHACHAPOYAS,10105.0,CHILIQUIN,687,,-6.0778,-77.7392,143.43,
1.0,AMAZONAS,101,CHACHAPOYAS,10106.0,CHUQUIBAMBA,1.0,AMAZONAS,101,CHACHAPOYAS,10106.0,CHUQUIBAMBA,1.0,AMAZONAS,101,CHACHAPOYAS,10106.0,CHUQUIBAMBA,"2,064",,-6.9333,-77.8575,278.63,
1.0,AMAZONAS,101,CHACHAPOYAS,10107.0,GRANADA,1.0,AMAZONAS,101,CHACHAPOYAS,10107.0,GRANADA,1.0,AMAZONAS,101,CHACHAPOYAS,10107.0,GRANADA,379,,-6.0997,-77.6344,181.41,
1.0,AMAZONAS,101,CHACHAPOYAS,10108.0,HUANCAS,1.0,AMAZONAS,101,CHACHAPOYAS,10108.0,HUANCAS,1.0,AMAZONAS,101,CHACHAPOYAS,10108.0,HUANCAS,"1,329",,-6.1747,-77.8686,48.79,
1.0,AMAZONAS,101,CHACHAPOYAS,10109.0,LA JALCA,1.0,AMAZONAS,101,CHACHAPOYAS,10109.0,LA JALCA,1.0,AMAZONAS,101,CHACHAPOYAS,10109.0,LA JALCA,"5,513",,-6.4825,-77.8192,380.39,
1.0,AMAZONAS,101,CHACHAPOYAS,10110.0,LEIMEBAMBA,1.0,AMAZONAS,101,CHACHAPOYAS,10110.0,LEIMEBAMBA,1.0,AMAZONAS,101,CHACHAPOYAS,10110.0,LEIMEBAMBA,"4,206",,-6.6636,-77.8006,373.14,
1.0,AMAZONAS,101,CHACHAPOYAS,10111.0,LEVANTO,1.0,AMAZONAS,101,CHACHAPOYAS,10111.0,LEVANTO,1.0,AMAZONAS,101,CHACHAPOYAS,10111.0,LEVANTO,862,,-6.3086,-77.8994,77.54,
1.0,AMAZONAS,101,CHACHAPOYAS,10112.0,MAGDALENA,1.0,AMAZONAS,101,CHACHAPOYAS,10112.0,MAGDALENA,1.0,AMAZONAS,101,CHACHAPOYAS,10112.0,MAGDALENA,782,,-6.3736,-77.9017,135.47,
1.0,AMAZONAS,101,CHACHAPOYAS,10113.0,MARISCAL CASTILLA,1.0,AMAZONAS,101,CHACHAPOYAS,10113.0,MARISCAL CASTILLA,1.0,AMAZONAS,101,CHACHAPOYAS,10113.0,MARISCAL CASTILLA,986,,-6.5939,-77.8053,83.58,
1.0,AMAZONAS,101,CHACHAPOYAS,10114.0,MOLINOPAMPA,1.0,AMAZONAS,101,CHACHAPOYAS,10114.0,MOLINOPAMPA,1.0,AMAZONAS,101,CHACHAPOYAS,10114.0,MOLINOPAMPA,"2,750",,-6.2056,-77.6683,333.86,
1.0,AMAZONAS,101,CHACHAPOYAS,10115.0,MONTEVIDEO,1.0,AMAZONAS,101,CHACHAPOYAS,10115.0,MONTEVIDEO,1.0,AMAZONAS,101,CHACHAPOYAS,10115.0,MONTEVIDEO,572,,-6.6133,-77.8025,119.01,
